"mlbid","fullname","firstname","lastname","birthdate","currentage","birthcountry","active","primaryposition","bats","throws","draftyear"
110001,"Hank Aaron","Henry","Aaron","1934-02-05","86","USA",0,"RF","Right","Right",
110002,"Tommie Aaron","Tommie","Aaron","1939-08-05","45","USA",0,"1B","Right","Right",
110003,"Don Aase","Donald","Aase","1954-09-08","68","USA",0,"P","Right","Right","1972"
110004,"John Abadie","John","Abadie","1854-11-04","50","USA",0,"1B","Right","Right",
110005,"Ed Abbaticchio","Edward","Abbaticchio","1877-04-15","79","USA",0,"2B","Right","Right",
110006,"Bert Abbey","Bert","Abbey","1869-11-29","92","USA",0,"P","Right","Right",
110007,"Charlie Abbey","Charles","Abbey","1866-10-14","59","USA",0,"CF","Left","Left",
110008,"Fred Abbott","Harry","Abbott","1874-10-22","60","USA",0,"C","Right","Right",
110009,"Jim Abbott","James","Abbott","1967-09-19","55","USA",0,"P","Left","Left","1988"
110010,"Jeff Abbott","Jeffrey","Abbott","1972-08-17","50","USA",0,"CF","Right","Left","1994"
110011,"Kurt Abbott","Kurt","Abbott","1969-06-02","53","USA",0,"SS","Right","Right","1989"
110012,"Kyle Abbott","Lawrence","Abbott","1968-02-18","54","USA",0,"P","Left","Left","1989"
110013,"Dan Abbott","Leander","Abbott","1862-03-16","67","USA",0,"P","Right","Right",
110014,"Ody Abbott","Ody","Abbott","1888-09-05","44","USA",0,"CF","Right","Right",
110015,"Paul Abbott","Paul","Abbott","1967-09-15","55","USA",0,"P","Right","Right","1985"
110016,"Glenn Abbott","William","Abbott","1951-02-16","71","USA",0,"P","Right","Right","1969"
110017,"Al Aber","Albert","Aber","1927-07-31","65","USA",0,"P","Left","Left",
110018,"Frank Abercrombie","Francis","Abercrombie","1850-01-02","89","USA",0,"SS","Right","Right",
110019,"Bill Abernathie","William","Abernathie","1929-01-30","77","USA",0,"P","Right","Right",
110020,"Ted Abernathy","Talmadge","Abernathy","1921-10-30","80","USA",0,"P","Right","Left",
110021,"Ted Abernathy","Theodore","Abernathy","1933-03-06","71","USA",0,"P","Right","Right",
110022,"Woody Abernathy","Virgil","Abernathy","1915-02-01","79","USA",0,"P","Left","Left",
110023,"Cliff Aberson","Clifford","Aberson","1921-08-28","51","USA",0,"LF","Right","Right",
110024,"Harry Ables","Harry","Ables","1883-10-04","67","USA",0,"P","Right","Left",
110025,"Shawn Abner","Shawn","Abner","1966-06-17","56","USA",0,"CF","Right","Right","1984"
110026,"Cal Abrams","Calvin","Abrams","1924-03-02","72","USA",0,"RF","Left","Left",
110027,"George Abrams","George","Abrams","1899-11-09","87","USA",0,"P","Right","Right",
110028,"Johnny Abrego","Johnny","Abrego","1962-07-04","60","USA",0,"P","Right","Right","1981"
110029,"Bobby Abreu","Bob","Abreu","1974-03-11","48","Venezuela",0,"RF","Left","Right",
110030,"Joe Abreu","Joseph","Abreu","1913-05-24","79","USA",0,"3B","Right","Right",
110031,"Bill Abstein","William","Abstein","1883-02-02","57","USA",0,"1B","Right","Right",
110032,"Juan Acevedo","Juan","Acevedo","1970-05-05","52","Mexico",0,"P","Right","Right","1992"
110033,"Jim Acker","James","Acker","1958-09-24","64","USA",0,"P","Right","Right","1980"
110034,"Tom Acker","Thomas","Acker","1930-03-07","90","USA",0,"P","Right","Right",
110035,"Fritz Ackley","Florian","Ackley","1937-04-10","65","USA",0,"P","Left","Right",
110036,"Merito Acosta","Baldomero","Acosta","1896-05-19","67","Cuba",0,"RF","Left","Left",
110037,"Cy Acosta","Cecilio","Acosta","1946-11-22","75","Mexico",0,"P","Right","Right",
110038,"Ed Acosta","Eduardo","Acosta","1944-03-09","78","Panama",0,"P","Switch","Right",
110039,"Jose Acosta","Jose","Acosta","1891-03-04","86","Cuba",0,"P","Right","Right",
110040,"Mark Acre","Mark","Acre","1968-09-16","54","USA",0,"P","Right","Right",
110041,"Jimmy Adair","James","Adair","1907-01-25","75","USA",0,"SS","Right","Right",
110042,"Jerry Adair","Kenneth","Adair","1936-12-17","50","USA",0,"2B","Right","Right",
110043,"Ace Adams","Ace","Adams","1910-03-02","95","USA",0,"P","Right","Right",
110044,"Babe Adams","Charles","Adams","1882-05-18","86","USA",0,"P","Left","Right",
110045,"Red Adams","Charles","Adams","1921-10-07","95","USA",0,"P","Right","Right",
110046,"Dan Adams","Daniel","Adams","1887-06-19","77","USA",0,"P","Right","Right",
110047,"Sparky Adams","Earl","Adams","1894-08-26","94","USA",0,"2B","Right","Right",
110048,"Buster Adams","Elvin","Adams","1915-06-24","75","USA",0,"CF","Right","Right",
110049,"George Adams","George","Adams","1855-01-01","167","USA",0,"1B","Right","Right",
110050,"Glenn Adams","Glenn","Adams","1947-10-04","75","USA",0,"DH","Left","Right",
110051,"Doug Adams","Harold","Adams","1943-01-27","79","USA",0,"C","Left","Right",
110052,"Herb Adams","Herbert","Adams","1928-04-14","83","USA",0,"CF","Left","Left",
110053,"Willie Adams","James","Adams","1890-09-27","46","USA",0,"P","Right","Right",
110054,"Jim Adams","James","Adams","1868-01-01","154","USA",0,"C","NA","Right",
110055,"Bert Adams","John","Adams","1891-06-21","49","USA",0,"C","Switch","Right",
